time,temperature_2m,dew_point_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,shortwave_radiation
2024-06-01T00:00,22.3,17.2,73,1017.6,10.3,216,0.0
2024-06-01T01:00,22.1,17.1,73,1017.3,8.8,215,0.0
2024-06-01T02:00,22.1,17.2,74,1017.1,6.9,231,0.0
2024-06-01T03:00,21.9,17.3,75,1017.2,5.8,248,0.0
2024-06-01T04:00,21.7,17.6,78,1017.0,6.7,306,0.0
2024-06-01T05:00,21.8,17.0,74,1017.3,4.1,345,0.0
2024-06-01T06:00,21.7,17.3,76,1017.5,3.8,41,8.0
2024-06-01T07:00,21.9,17.5,76,1018.0,3.8,41,103.0
2024-06-01T08:00,22.1,17.9,77,1018.3,7.9,24,275.0
2024-06-01T09:00,22.1,18.1,78,1018.4,10.2,18,475.0
2024-06-01T10:00,22.2,18.1,78,1018.2,11.1,13,663.0
2024-06-01T11:00,22.3,18.3,78,1018.2,12.1,12,815.0
2024-06-01T12:00,22.5,18.3,77,1018.2,12.4,10,911.0
2024-06-01T13:00,22.6,18.2,76,1018.1,12.6,3,948.0
2024-06-01T14:00,22.8,18.1,75,1017.7,14.0,360,925.0
2024-06-01T15:00,23.0,18.4,75,1017.4,15.1,1,842.0
2024-06-01T16:00,23.3,18.8,76,1017.2,13.7,358,708.0
2024-06-01T17:00,23.1,19.5,80,1016.7,14.5,6,534.0
2024-06-01T18:00,22.9,19.7,82,1016.2,13.4,6,338.0
2024-06-01T19:00,23.1,19.6,80,1016.0,11.0,11,148.0
2024-06-01T20:00,23.1,19.1,78,1015.9,11.6,5,19.0
2024-06-01T21:00,22.8,19.6,82,1016.1,12.7,8,0.0
2024-06-01T22:00,22.5,20.0,86,1016.2,11.2,4,0.0
2024-06-01T23:00,22.3,20.2,88,1015.8,12.6,5,0.0
2024-06-02T00:00,22.2,20.3,89,1015.4,12.8,10,0.0
2024-06-02T01:00,22.4,20.2,87,1015.0,11.2,15,0.0
2024-06-02T02:00,22.6,19.9,85,1014.6,9.0,16,0.0
2024-06-02T03:00,22.9,20.0,84,1014.4,8.3,5,0.0
2024-06-02T04:00,23.3,19.9,81,1013.8,13.3,3,0.0
2024-06-02T05:00,23.3,20.1,82,1013.5,14.8,1,0.0
2024-06-02T06:00,23.3,20.0,82,1013.5,14.1,6,9.0
2024-06-02T07:00,23.4,19.9,81,1013.6,15.5,4,116.0
2024-06-02T08:00,23.3,19.9,81,1014.0,20.2,359,303.0
2024-06-02T09:00,22.9,20.5,87,1013.6,23.4,357,502.0
2024-06-02T10:00,22.8,20.6,88,1013.5,23.9,354,685.0
2024-06-02T11:00,22.8,21.0,90,1013.4,22.5,347,831.0
2024-06-02T12:00,23.0,21.1,89,1013.2,21.1,343,928.0
2024-06-02T13:00,23.1,21.4,90,1013.0,19.7,345,965.0
2024-06-02T14:00,23.4,21.5,89,1012.5,19.1,349,941.0
2024-06-02T15:00,23.5,21.8,90,1012.1,19.2,352,856.0
2024-06-02T16:00,23.8,22.2,91,1011.9,18.5,353,718.0
2024-06-02T17:00,23.8,22.6,93,1011.3,16.1,350,543.0
2024-06-02T18:00,24.2,22.9,93,1011.1,12.3,355,344.0
2024-06-02T19:00,24.2,23.0,93,1010.9,11.8,348,152.0
2024-06-02T20:00,24.4,22.8,91,1010.6,10.5,352,20.0
2024-06-02T21:00,24.6,22.6,88,1010.5,10.1,356,0.0
2024-06-02T22:00,24.8,22.1,85,1010.6,12.6,358,0.0
2024-06-02T23:00,25.0,22.3,85,1010.4,14.8,357,0.0
2024-06-03T00:00,24.4,22.1,87,1010.2,19.2,347,0.0
2024-06-03T01:00,24.2,21.8,87,1010.1,16.2,3,0.0
2024-06-03T02:00,24.2,21.5,85,1009.3,12.5,12,0.0
2024-06-03T03:00,24.2,21.5,85,1008.8,9.6,13,0.0
2024-06-03T04:00,24.2,21.8,86,1008.5,10.9,9,0.0
2024-06-03T05:00,23.9,21.5,86,1008.8,9.6,20,0.0
2024-06-03T06:00,23.9,21.1,85,1008.9,8.9,27,9.0
2024-06-03T07:00,24.2,21.3,84,1009.0,13.1,8,117.0
2024-06-03T08:00,24.3,22.0,87,1009.4,21.0,354,303.0
2024-06-03T09:00,23.5,21.6,89,1009.7,22.4,355,503.0
2024-06-03T10:00,23.5,21.4,88,1010.1,22.2,352,684.0
2024-06-03T11:00,23.5,21.9,90,1009.8,22.3,351,827.0
2024-06-03T12:00,23.9,22.2,90,1009.5,21.9,351,922.0
2024-06-03T13:00,24.4,22.3,88,1009.0,19.8,350,961.0
2024-06-03T14:00,24.8,22.3,86,1008.5,17.6,345,938.0
2024-06-03T15:00,25.1,22.2,84,1008.1,16.9,349,857.0
2024-06-03T16:00,24.3,22.4,89,1008.6,14.8,347,720.0
2024-06-03T17:00,24.8,22.2,85,1008.1,13.3,358,543.0
2024-06-03T18:00,25.6,22.4,83,1007.5,13.4,5,345.0
2024-06-03T19:00,26.2,22.1,78,1007.0,13.8,6,153.0
2024-06-03T20:00,26.4,21.7,75,1006.8,13.7,355,20.0
2024-06-03T21:00,26.4,21.2,73,1006.9,14.0,342,0.0
2024-06-03T22:00,26.6,20.7,70,1007.1,10.3,331,0.0
2024-06-03T23:00,26.5,21.1,72,1006.9,8.9,333,0.0
2024-06-04T00:00,26.7,20.9,71,1006.8,12.6,340,0.0
2024-06-04T01:00,26.0,20.8,73,1006.8,16.7,335,0.0
2024-06-04T02:00,25.2,21.5,80,1007.2,14.1,356,0.0
2024-06-04T03:00,24.7,21.9,84,1007.4,12.6,2,0.0
2024-06-04T04:00,24.7,21.7,84,1006.6,5.4,352,0.0
2024-06-04T05:00,25.0,22.0,83,1006.9,4.2,20,0.0
2024-06-04T06:00,25.1,21.9,82,1007.6,2.0,135,9.0
2024-06-04T07:00,25.4,20.7,75,1007.8,6.0,197,117.0
2024-06-04T08:00,24.5,21.2,82,1008.0,10.1,270,302.0
2024-06-04T09:00,23.2,21.9,92,1008.6,7.6,289,501.0
2024-06-04T10:00,22.9,21.7,93,1008.8,16.5,226,681.0
2024-06-04T11:00,23.5,21.2,87,1008.8,15.1,230,823.0
2024-06-04T12:00,24.0,21.1,84,1008.7,9.9,224,918.0
2024-06-04T13:00,24.4,21.1,82,1008.3,8.9,243,956.0
2024-06-04T14:00,24.8,21.2,80,1007.8,8.2,255,935.0
2024-06-04T15:00,25.2,21.4,79,1007.4,7.6,267,859.0
2024-06-04T16:00,24.7,20.4,77,1007.7,3.8,253,713.0
2024-06-04T17:00,25.5,21.8,80,1007.0,4.7,270,538.0
2024-06-04T18:00,25.5,22.2,82,1006.6,9.2,312,343.0
2024-06-04T19:00,24.7,22.9,90,1006.7,10.2,328,152.0
2024-06-04T20:00,24.8,22.4,87,1006.8,8.0,342,21.0
2024-06-04T21:00,24.8,22.8,88,1007.0,6.0,295,0.0
2024-06-04T22:00,24.4,22.8,91,1007.4,8.8,282,0.0
2024-06-04T23:00,24.1,22.8,92,1007.7,13.2,241,0.0
2024-06-05T00:00,24.1,22.3,90,1007.9,12.0,221,0.0
2024-06-05T01:00,24.1,21.8,87,1007.7,9.4,212,0.0
2024-06-05T02:00,24.0,21.3,85,1007.5,11.3,217,0.0
2024-06-05T03:00,24.2,21.0,82,1007.5,11.5,226,0.0
2024-06-05T04:00,24.0,21.9,88,1007.2,9.4,252,0.0
2024-06-05T05:00,24.2,20.8,82,1007.0,10.7,228,0.0
2024-06-05T06:00,23.9,20.2,80,1007.3,17.3,211,9.0
2024-06-05T07:00,23.6,20.6,83,1007.8,16.8,211,116.0
2024-06-05T08:00,23.3,21.1,87,1008.4,17.1,215,299.0
2024-06-05T09:00,23.1,21.7,92,1008.6,17.7,218,494.0
2024-06-05T10:00,23.2,21.8,92,1008.9,15.1,220,674.0
2024-06-05T11:00,23.2,21.7,91,1009.0,11.3,217,816.0
2024-06-05T12:00,23.7,21.5,87,1008.9,9.7,211,911.0
2024-06-05T13:00,24.5,21.3,83,1008.8,7.9,219,949.0
2024-06-05T14:00,25.1,21.6,81,1008.5,6.4,243,919.0
2024-06-05T15:00,25.3,22.4,84,1007.9,11.6,263,837.0
2024-06-05T16:00,25.7,23.4,87,1007.5,9.0,272,717.0
2024-06-05T17:00,25.4,23.7,90,1006.7,6.6,292,542.0
2024-06-05T18:00,25.5,24.0,91,1006.0,7.5,287,342.0
2024-06-05T19:00,25.1,24.0,94,1006.2,9.1,277,152.0
2024-06-05T20:00,24.8,23.6,93,1006.4,8.0,288,21.0
2024-06-05T21:00,24.5,23.3,93,1006.5,4.5,284,0.0
2024-06-05T22:00,24.5,23.2,92,1007.0,6.5,264,0.0
2024-06-05T23:00,24.1,22.7,92,1007.4,5.3,298,0.0
2024-06-06T00:00,23.9,22.5,92,1007.3,1.6,207,0.0
2024-06-06T01:00,23.8,22.8,94,1007.1,2.2,360,0.0
2024-06-06T02:00,23.7,22.1,91,1006.7,1.9,68,0.0
2024-06-06T03:00,24.3,21.6,85,1006.6,1.0,315,0.0
2024-06-06T04:00,24.4,22.7,90,1006.5,6.2,249,0.0
2024-06-06T05:00,24.5,22.2,87,1006.3,5.4,250,0.0
2024-06-06T06:00,24.3,21.9,86,1006.5,3.5,246,9.0
2024-06-06T07:00,24.1,21.8,87,1006.9,5.5,238,117.0
2024-06-06T08:00,23.6,21.4,88,1007.5,8.1,238,301.0
2024-06-06T09:00,23.4,21.8,90,1008.2,8.7,222,495.0
2024-06-06T10:00,23.8,21.7,88,1008.6,12.1,217,674.0
2024-06-06T11:00,24.4,22.0,86,1008.9,13.6,217,817.0
2024-06-06T12:00,25.1,22.3,84,1009.0,12.8,230,912.0
2024-06-06T13:00,25.6,22.8,85,1008.7,10.5,243,950.0
2024-06-06T14:00,25.8,22.8,84,1008.3,8.0,275,934.0
2024-06-06T15:00,25.8,23.1,85,1007.9,13.5,326,850.0
2024-06-06T16:00,25.9,21.4,76,1007.6,9.4,328,717.0
2024-06-06T17:00,26.3,22.1,78,1007.1,6.7,306,546.0
2024-06-06T18:00,26.3,22.4,79,1006.9,10.3,306,351.0
2024-06-06T19:00,25.8,23.0,84,1007.0,12.0,321,159.0
2024-06-06T20:00,25.3,23.0,87,1007.1,10.2,352,23.0
2024-06-06T21:00,25.3,23.2,88,1007.1,5.8,338,0.0
2024-06-06T22:00,25.3,23.4,89,1007.2,6.9,313,0.0
2024-06-06T23:00,24.9,23.6,93,1007.7,9.8,324,0.0
2024-06-07T00:00,25.0,23.3,91,1007.6,4.7,356,0.0
2024-06-07T01:00,24.7,23.4,92,1007.2,11.7,349,0.0
2024-06-07T02:00,24.6,23.1,91,1006.7,6.1,357,0.0
2024-06-07T03:00,24.9,23.2,90,1006.7,7.9,270,0.0
2024-06-07T04:00,25.6,23.5,88,1006.7,5.6,315,0.0
2024-06-07T05:00,25.7,23.3,87,1006.5,7.6,289,0.0
2024-06-07T06:00,25.5,23.5,89,1006.9,10.8,255,9.0
2024-06-07T07:00,25.3,22.6,85,1007.1,13.2,225,117.0
2024-06-07T08:00,25.5,22.5,83,1007.2,14.5,235,301.0
2024-06-07T09:00,24.9,22.8,88,1007.6,15.7,250,499.0
2024-06-07T10:00,24.7,23.1,91,1008.1,9.2,228,678.0
2024-06-07T11:00,25.2,23.0,88,1008.3,8.2,229,821.0
2024-06-07T12:00,25.7,23.0,85,1008.4,10.3,234,917.0
2024-06-07T13:00,26.2,23.0,83,1008.0,11.2,230,950.0
2024-06-07T14:00,26.6,23.2,82,1007.4,11.8,243,926.0
2024-06-07T15:00,26.5,23.8,85,1006.8,15.6,244,847.0
2024-06-07T16:00,27.1,24.2,84,1005.9,13.5,286,714.0
2024-06-07T17:00,26.5,24.4,88,1005.7,13.6,259,542.0
2024-06-07T18:00,26.7,24.3,86,1005.6,11.4,246,348.0
2024-06-07T19:00,26.6,24.3,87,1005.5,9.9,251,157.0
2024-06-07T20:00,26.2,24.2,89,1005.7,6.9,261,23.0
2024-06-07T21:00,26.2,24.3,90,1005.7,6.0,253,0.0
2024-06-07T22:00,26.1,24.0,88,1005.9,9.1,261,0.0
2024-06-07T23:00,25.8,24.1,90,1005.7,7.6,251,0.0
2024-06-08T00:00,25.7,24.0,90,1005.7,5.8,240,0.0
2024-06-08T01:00,25.5,24.1,92,1005.6,6.2,263,0.0
2024-06-08T02:00,25.2,24.1,94,1005.3,4.3,246,0.0
2024-06-08T03:00,25.3,23.9,92,1004.8,4.3,185,0.0
2024-06-08T04:00,25.8,23.6,88,1004.0,7.3,261,0.0
2024-06-08T05:00,25.8,23.4,87,1004.0,9.6,236,0.0
2024-06-08T06:00,26.0,23.0,84,1004.7,13.2,225,9.0
2024-06-08T07:00,25.9,22.0,79,1005.0,11.3,202,117.0
2024-06-08T08:00,26.0,22.2,80,1004.7,14.6,218,298.0
2024-06-08T09:00,26.0,22.3,80,1004.4,23.7,227,493.0
2024-06-08T10:00,25.9,22.7,82,1004.4,23.2,227,674.0
2024-06-08T11:00,25.9,23.7,88,1005.0,19.0,245,818.0
